team.home,away.team,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
Manchester City,Manchester United,Fast,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Normal,draw
Newcastle United,Blackburn Rovers,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,lose
West Ham United,West Bromwich Albion,Balanced,Little,Short,Organised,Safe,Lots,Normal,Organised,Deep,Double,Narrow,Balanced,Little,Mixed,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,draw
Wigan Athletic,Liverpool,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,draw
Wolverhampton Wanderers,Arsenal,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,Balanced,Little,Short,Free Form,Safe,Normal,Normal,Free Form,Deep,Press,Normal,lose
Aston Villa,Manchester United,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Deep,Double,Narrow,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Normal,draw
Manchester City,Birmingham City,Fast,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,draw
Newcastle United,Fulham,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,draw
Stoke City,Liverpool,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,win
Tottenham Hotspur,Blackburn Rovers,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,win
West Ham United,Blackpool,Balanced,Little,Short,Organised,Safe,Lots,Normal,Organised,Deep,Double,Narrow,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,draw
Wigan Athletic,West Bromwich Albion,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Mixed,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,win
Wolverhampton Wanderers,Bolton Wanderers,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,lose
Chelsea,Sunderland,Fast,Little,Mixed,Free Form,Normal,Lots,Lots,Free Form,Deep,Press,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,lose
Everton,Arsenal,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Short,Free Form,Safe,Normal,Normal,Free Form,Deep,Press,Normal,lose
Arsenal,Tottenham Hotspur,Balanced,Little,Short,Free Form,Safe,Normal,Normal,Free Form,Deep,Press,Normal,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,lose
Birmingham City,Chelsea,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,Fast,Little,Mixed,Free Form,Normal,Lots,Lots,Free Form,Deep,Press,Normal,win
Blackpool,Wolverhampton Wanderers,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,win
Bolton Wanderers,Newcastle United,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,win
Liverpool,West Ham United,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Balanced,Little,Short,Organised,Safe,Lots,Normal,Organised,Deep,Double,Narrow,win
Manchester United,Wigan Athletic,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Normal,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,win
West Bromwich Albion,Stoke City,Balanced,Little,Mixed,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,lose
Blackburn Rovers,Aston Villa,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Deep,Double,Narrow,win
Fulham,Manchester City,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,Fast,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,lose
Sunderland,Everton,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,draw
Aston Villa,Arsenal,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Deep,Double,Narrow,Balanced,Little,Short,Free Form,Safe,Normal,Normal,Free Form,Deep,Press,Normal,lose
Bolton Wanderers,Blackpool,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,draw
Everton,West Bromwich Albion,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Mixed,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,lose
Fulham,Birmingham City,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,draw
Manchester United,Blackburn Rovers,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Normal,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,win
Stoke City,Manchester City,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,draw
West Ham United,Wigan Athletic,Balanced,Little,Short,Organised,Safe,Lots,Normal,Organised,Deep,Double,Narrow,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,win
Wolverhampton Wanderers,Sunderland,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,win
Newcastle United,Chelsea,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Fast,Little,Mixed,Free Form,Normal,Lots,Lots,Free Form,Deep,Press,Normal,draw
Tottenham Hotspur,Liverpool,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,win
Arsenal,Fulham,Balanced,Little,Short,Free Form,Safe,Normal,Normal,Free Form,Deep,Press,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,win
Birmingham City,Tottenham Hotspur,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,draw
Blackburn Rovers,Wolverhampton Wanderers,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,win
Chelsea,Everton,Fast,Little,Mixed,Free Form,Normal,Lots,Lots,Free Form,Deep,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,draw
Manchester City,Bolton Wanderers,Fast,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,win
Wigan Athletic,Stoke City,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,draw
Sunderland,West Ham United,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Short,Organised,Safe,Lots,Normal,Organised,Deep,Double,Narrow,win
West Bromwich Albion,Newcastle United,Balanced,Little,Mixed,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,win
Liverpool,Aston Villa,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Deep,Double,Narrow,win
Aston Villa,West Bromwich Albion,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Deep,Double,Narrow,Balanced,Little,Mixed,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,win
Everton,Wigan Athletic,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,draw
Fulham,Sunderland,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,draw
Newcastle United,Liverpool,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,win
Stoke City,Blackpool,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,lose
West Ham United,Manchester City,Balanced,Little,Short,Organised,Safe,Lots,Normal,Organised,Deep,Double,Narrow,Fast,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,lose
Bolton Wanderers,Blackburn Rovers,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,win
Tottenham Hotspur,Chelsea,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Fast,Little,Mixed,Free Form,Normal,Lots,Lots,Free Form,Deep,Press,Normal,draw
Wolverhampton Wanderers,Birmingham City,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,win
Manchester United,Arsenal,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Normal,Balanced,Little,Short,Free Form,Safe,Normal,Normal,Free Form,Deep,Press,Normal,win
Blackburn Rovers,West Ham United,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Short,Organised,Safe,Lots,Normal,Organised,Deep,Double,Narrow,draw
Sunderland,Bolton Wanderers,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,win
Manchester City,Everton,Fast,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,lose
Aston Villa,Tottenham Hotspur,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Deep,Double,Narrow,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,lose
Blackburn Rovers,Stoke City,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,lose
Bolton Wanderers,West Bromwich Albion,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Mixed,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,win
Fulham,West Ham United,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,Balanced,Little,Short,Organised,Safe,Lots,Normal,Organised,Deep,Double,Narrow,lose
Manchester United,Sunderland,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,win
Newcastle United,Manchester City,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Fast,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,lose
Wolverhampton Wanderers,Wigan Athletic,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,lose
Arsenal,Chelsea,Balanced,Little,Short,Free Form,Safe,Normal,Normal,Free Form,Deep,Press,Normal,Fast,Little,Mixed,Free Form,Normal,Lots,Lots,Free Form,Deep,Press,Normal,win
Birmingham City,Manchester United,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Normal,draw
Manchester City,Aston Villa,Fast,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Deep,Double,Narrow,win
Stoke City,Fulham,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,lose
Sunderland,Blackpool,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,lose
Tottenham Hotspur,Newcastle United,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,win
West Bromwich Albion,Blackburn Rovers,Balanced,Little,Mixed,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,lose
West Ham United,Everton,Balanced,Little,Short,Organised,Safe,Lots,Normal,Organised,Deep,Double,Narrow,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,draw
Chelsea,Bolton Wanderers,Fast,Little,Mixed,Free Form,Normal,Lots,Lots,Free Form,Deep,Press,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,win
Liverpool,Wolverhampton Wanderers,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,lose
Wigan Athletic,Arsenal,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Short,Free Form,Safe,Normal,Normal,Free Form,Deep,Press,Normal,draw
Birmingham City,Arsenal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Fast,Little,Mixed,Free Form,Normal,Normal,Normal,Free Form,Medium,Press,Normal,lose
Liverpool,Bolton Wanderers,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,win
Manchester City,Blackpool,Fast,Little,Mixed,Organised,Risky,Normal,Lots,Free Form,Medium,Press,Normal,Fast,Little,Short,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,win
Stoke City,Everton,Balanced,Little,Long,Organised,Safe,Lots,Normal,Organised,Deep,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,win
Sunderland,Blackburn Rovers,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
Tottenham Hotspur,Fulham,Balanced,Little,Mixed,Free Form,Risky,Lots,Lots,Organised,Deep,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
West Bromwich Albion,Manchester United,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Free Form,Medium,Press,Normal,lose
West Ham United,Wolverhampton Wanderers,Balanced,Little,Mixed,Organised,Safe,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
Chelsea,Aston Villa,Balanced,Little,Mixed,Free Form,Normal,Normal,Lots,Free Form,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,draw
Wigan Athletic,Newcastle United,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,lose
Blackpool,Birmingham City,Fast,Little,Short,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,lose
Fulham,West Bromwich Albion,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
Manchester United,Stoke City,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Free Form,Medium,Press,Normal,Balanced,Little,Long,Organised,Safe,Lots,Normal,Organised,Deep,Press,Normal,win
Arsenal,Manchester City,Fast,Little,Mixed,Free Form,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Fast,Little,Mixed,Organised,Risky,Normal,Lots,Free Form,Medium,Press,Normal,draw
Aston Villa,Sunderland,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,lose
Blackburn Rovers,Liverpool,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
Bolton Wanderers,Wigan Athletic,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,draw
Everton,Tottenham Hotspur,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Free Form,Risky,Lots,Lots,Organised,Deep,Press,Normal,win
Newcastle United,West Ham United,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Safe,Normal,Normal,Organised,Medium,Press,Normal,win
Wolverhampton Wanderers,Chelsea,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Free Form,Normal,Normal,Lots,Free Form,Medium,Press,Normal,win
Blackpool,Liverpool,Fast,Little,Short,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
Chelsea,Blackburn Rovers,Balanced,Little,Mixed,Free Form,Normal,Normal,Lots,Free Form,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
Manchester City,Wolverhampton Wanderers,Fast,Little,Mixed,Organised,Risky,Normal,Lots,Free Form,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
Stoke City,Bolton Wanderers,Balanced,Little,Long,Organised,Safe,Lots,Normal,Organised,Deep,Press,Normal,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,win
West Bromwich Albion,Blackpool,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Fast,Little,Short,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,win
West Ham United,Arsenal,Balanced,Little,Mixed,Organised,Safe,Normal,Normal,Organised,Medium,Press,Normal,Fast,Little,Mixed,Free Form,Normal,Normal,Normal,Free Form,Medium,Press,Normal,lose
Wigan Athletic,Fulham,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,draw
Birmingham City,Aston Villa,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,draw
Liverpool,Everton,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,draw
Sunderland,Newcastle United,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,draw
Tottenham Hotspur,Manchester United,Balanced,Little,Mixed,Free Form,Risky,Lots,Lots,Organised,Deep,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Free Form,Medium,Press,Normal,draw
Arsenal,Wigan Athletic,Fast,Little,Mixed,Free Form,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
Aston Villa,Manchester City,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Fast,Little,Mixed,Organised,Risky,Normal,Lots,Free Form,Medium,Press,Normal,win
Blackpool,Sunderland,Fast,Little,Short,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,lose
Everton,West Ham United,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Safe,Normal,Normal,Organised,Medium,Press,Normal,draw
Fulham,Stoke City,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Long,Organised,Safe,Lots,Normal,Organised,Deep,Press,Normal,win
Manchester United,Birmingham City,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Free Form,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,win
Newcastle United,Tottenham Hotspur,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Free Form,Risky,Lots,Lots,Organised,Deep,Press,Normal,draw
Wolverhampton Wanderers,Liverpool,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,lose
Blackburn Rovers,West Bromwich Albion,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
Bolton Wanderers,Chelsea,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Free Form,Normal,Normal,Lots,Free Form,Medium,Press,Normal,lose
Blackpool,Manchester United,Fast,Little,Short,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Free Form,Medium,Press,Normal,lose
Wigan Athletic,Aston Villa,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,lose
Liverpool,Fulham,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
Arsenal,Everton,Fast,Little,Mixed,Free Form,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,win
Manchester United,Aston Villa,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Free Form,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
Sunderland,Chelsea,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Free Form,Normal,Normal,Lots,Free Form,Medium,Press,Normal,lose
West Bromwich Albion,Wigan Athletic,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,draw
Birmingham City,Manchester City,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Fast,Little,Mixed,Organised,Risky,Normal,Lots,Free Form,Medium,Press,Normal,draw
Blackburn Rovers,Tottenham Hotspur,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Free Form,Risky,Lots,Lots,Organised,Deep,Press,Normal,lose
Blackpool,West Ham United,Fast,Little,Short,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Safe,Normal,Normal,Organised,Medium,Press,Normal,lose
Bolton Wanderers,Wolverhampton Wanderers,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
Fulham,Newcastle United,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
Liverpool,Stoke City,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Long,Organised,Safe,Lots,Normal,Organised,Deep,Press,Normal,win
Aston Villa,Fulham,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,draw
Everton,Blackpool,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Fast,Little,Short,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,win
Manchester City,West Bromwich Albion,Fast,Little,Mixed,Organised,Risky,Normal,Lots,Free Form,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,win
