season,away_team_api_id,home_team_api_id,H_overall_rating,A_overall_rating,H_potential,A_potential,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
2010/2011,9879,8528,790,818,852,888,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8655,8455,895,825,960,892,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8668,8650,856,854,922,891,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,1
2010/2011,10261,8472,829,822,885,864,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,10260,8586,877,824.5299233,914,874.6768998,2,1,2,1,3,3,3,2,1,3,2,2,1,2,2,2,2,3,1,2,3,2,1
2010/2011,10252,8658,823.5613065,854,874.9220714,912,2,1,2,2,2,2,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8658,10260,882,824.5299233,958,874.6768998,2,1,2,2,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,1,3,2,2
2010/2011,8528,9825,879,794,958,856,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8456,10252,855,876,918,955,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,3,2,3,1,2,3,2,2
2010/2011,8654,8668,846,797,895,858,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,1,2,2,2,2,3,2,1
2010/2011,8586,10261,821,881,860,925,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,1
2010/2011,8650,8602,787,866,867,920,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,10194,9879,833,811,891,867,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
2010/2011,8472,8483,804,822,845,876,3,1,1,2,2,1,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,8659,8655,825,786,894,829,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8455,8559,823.5613065,911,874.9220714,962,2,1,3,2,2,3,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,3
2010/2011,10260,8483,804,824.5299233,845,874.6768998,3,1,1,2,2,1,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
2010/2011,10252,8528,790,856,870,914,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,9879,8650,866,816,934,893,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,10252,10260,895,864,959,918,2,1,2,2,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8668,9825,874,853,955,897,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2010/2011,8455,8472,824,918,886,967,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,3
2010/2011,8528,8659,823.5613065,798,874.9220714,863,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8456,8658,830,874,883,953,2,1,2,2,2,2,2,2,1,3,2,3,1,2,2,3,2,3,1,2,3,2,1
2010/2011,8602,8559,823.5613065,763,874.9220714,847,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8654,8483,797,816,848,883,3,1,1,2,2,1,2,2,2,3,2,2,1,2,2,1,2,2,2,2,3,2,3
2010/2011,10194,8650,860,787,925,841,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
2010/2011,8586,8655,818,866,880,900,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,3
2010/2011,10261,9879,840,821,897,859,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8559,8586,863,824.5299233,906,874.6768998,2,1,2,1,3,3,3,2,1,3,2,2,1,3,2,2,3,2,2,2,3,2,2
2010/2011,9879,10252,852,844,920,897,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8483,8668,847,765,907,808,2,1,2,2,2,3,2,2,2,3,2,3,1,1,2,2,1,2,2,2,3,2,2
2010/2011,9825,10261,829,879,870,955,2,1,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,1
2010/2011,8659,8456,871,799,953,851,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,10260,8602,791,824.5299233,863,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,2
2010/2011,8472,10194,819,832,877,892,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8655,8528,789,818,859,891,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8658,8654,807,831,878,885,2,1,2,2,1,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,3,2,3
2010/2011,8650,8455,897,879,968,928,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,8456,10260,823.5613065,861,874.9220714,947,2,1,2,2,2,2,3,1,2,3,2,3,1,2,2,3,2,3,1,2,3,2,2
2010/2011,8602,9825,877,774,956,859,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8528,8650,859,794,924,866,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8586,8472,826,864,884,901,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,3
2010/2011,10261,8655,823,833,883,877,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,10194,8658,834,804,889,871,2,1,2,2,2,2,2,2,1,3,2,2,1,3,2,1,3,2,2,1,3,2,2
2010/2011,8654,8659,801,802,854,864,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,1,2,2,2,2,3,2,1
2010/2011,10252,8483,789,864,831,924,3,1,1,2,2,1,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8668,8559,823.5613065,865,874.9220714,904,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2010/2011,8455,9879,837,917,895,970,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,1
2010/2011,10261,8658,834,833,889,877,2,1,2,2,2,2,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,8602,8659,805,771,855,853,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8586,8483,791,867,835,905,3,1,1,2,2,1,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,2
2010/2011,10194,9825,878,792,953,857,3,1,2,1,2,2,2,1,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
2010/2011,8655,10252,828,820,909,888,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8472,8668,848,826,904,887,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
