season,away_team_api_id,home_team_api_id,H_overall_rating,A_overall_rating,H_potential,A_potential,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
2010/2011,8655,8654,783,824,865,900,2,1,2,2,1,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8528,10252,843,795,909,870,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8456,8668,842,865,900,951,2,1,2,2,2,3,2,2,2,3,2,3,1,2,2,3,2,3,1,2,3,2,2
2010/2011,8658,10261,827,821,881,876,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,3,2,2
2010/2011,8472,8559,823.5613065,801,874.9220714,846,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,8455,10260,885,919,953,967,2,1,2,2,2,2,3,1,2,3,2,2,1,2,1,2,2,3,1,2,3,2,2
2010/2011,8659,8602,779,824.5299233,842,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,9825,10194,807,867,866,953,2,1,3,2,1,3,2,2,1,3,2,3,1,2,1,2,2,2,1,2,3,2,2
2010/2011,8650,9879,832,849,892,911,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,8586,8456,871,861,948,915,3,1,2,2,3,2,3,1,2,3,2,2,1,2,1,3,3,3,2,1,3,2,2
2010/2011,8602,8472,805,773,855,855,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,10260,8655,819,897,894,959,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,1
2010/2011,8668,8659,823.5613065,849,874.9220714,891,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2010/2011,8559,8483,796,824.5299233,830,874.6768998,3,1,1,2,2,1,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2
2010/2011,10252,9825,861,855,954,913,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,8586,8650,835,859,911,914,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,3
2010/2011,9879,8658,820,836,872,893,2,1,2,2,2,2,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,8654,8528,796,789,867,872,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,1,2,2,2,2,3,2,2
2010/2011,10261,8455,885,803,953,877,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,10194,8456,872,792,948,834,3,1,2,2,3,2,3,1,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
2010/2011,8483,10260,823.5613065,778,874.9220714,832,2,1,2,2,2,2,3,1,2,3,2,3,1,1,2,2,1,2,2,2,3,2,2
2010/2011,8658,8586,847,824,898,880,2,1,2,1,3,3,3,2,1,3,2,2,1,2,2,2,2,2,2,1,3,2,2
2010/2011,8472,8654,774,808,859,870,2,1,2,2,1,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,8650,10252,842,838,915,905,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8455,8668,842,915,896,962,2,1,2,2,2,3,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,2
2010/2011,8659,10261,793,788,867,844,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8655,8602,784,819,843,897,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,9825,9879,826,873,892,961,2,1,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,1
2010/2011,8456,8559,823.5613065,861,874.9220714,944,2,1,3,2,2,3,2,2,2,3,2,3,1,2,2,3,2,3,1,2,3,2,3
2010/2011,8528,10194,804,796,862,854,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8602,8655,811,779,884,855,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10252,9879,841,843,901,915,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8472,8650,841,818,915,887,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,9825,10261,822,866,886,953,2,1,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,1
2011/2012,8559,10172,769,824.5299233,822,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,3
2011/2012,9850,8528,786,755,869,802,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8455,10194,822,909,878,959,2,1,3,2,1,3,2,2,1,3,2,2,1,2,1,2,2,3,1,2,3,2,1
2011/2012,10260,8659,802,879,855,959,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
2011/2012,10003,8456,876,764,948,854,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8650,9825,832,865,930,919,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8655,10252,841,817,912,889,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8659,8455,879,798,942,851,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10172,8668,837,762,904,842,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10261,8472,816,832,885,887,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8528,10003,760,790,843,862,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8456,8559,823.5613065,876,874.9220714,957,2,1,3,2,2,3,2,2,2,3,2,3,1,2,2,3,2,3,1,2,3,2,3
2011/2012,10194,9850,743,820,824,887,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,1
2011/2012,9879,8602,795,843,857,901,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8586,10260,860,867,943,901,2,1,2,2,2,2,3,1,2,3,2,2,1,2,1,3,3,3,2,1,3,2,2
2011/2012,8602,10252,829,777,910,859,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8668,8655,822,857,888,907,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,9850,8455,885,760,944,818,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8559,8650,857,824.5299233,922,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2
2011/2012,8472,10003,760,820,843,879,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10172,8528,788,753,866,829,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,9825,10260,860,824.5299233,943,874.6768998,2,1,2,2,2,2,3,1,2,3,2,3,1,2,1,2,2,2,1,2,3,2,2
2011/2012,9879,10261,819,830,888,894,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8456,8586,870,880,911,959,2,1,2,1,3,3,3,2,1,3,2,3,1,2,2,3,2,3,1,2,3,2,3
2011/2012,10194,8659,802,806,855,869,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,3
2011/2012,10003,9825,851,753,946,861,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10260,8559,823.5613065,874,874.9220714,951,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
2011/2012,10252,8668,837,855,897,916,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8528,8456,882,788,956,864,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8650,10194,815,870,870,923,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8455,8472,815,893,880,944,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,3
2011/2012,8586,8602,792,875,860,910,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,3
2011/2012,8655,9879,846,806,907,876,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8659,9850,746,811,829,866,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10261,10172,797,820,871,881,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10261,10252,835,820,911,881,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,9825,8655,791,868,871,941,2,1,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,2
2011/2012,9850,8559,823.5613065,738,874.9220714,802,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8528,8668,837,782,897,882,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8659,10003,749,784,844,853,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10172,8602,800,794,848,858,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8456,9879,837,883,896,960,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,3,2,3,1,2,3,2,1
2011/2012,8455,10260,869,905,949,955,2,1,2,2,2,2,3,1,2,3,2,2,1,2,1,2,2,3,1,2,3,2,2
2011/2012,10194,8472,825,813,893,876,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
2011/2012,8650,8586,861,876,915,929,2,1,2,1,3,3,3,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8559,9825,862,824.5299233,948,874.6768998,3,1,2,1,2,2,2,1,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2
2011/2012,10003,8455,885,749,956,847,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8602,8650,852,768,923,840,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8668,8456,885,846,959,892,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,8655,10261,826,798,887,878,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10260,10194,811,883,868,950,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,3,1,2,3,2,1
2011/2012,9879,8659,798,839,858,900,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8586,8528,784,878,870,918,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,3
2011/2012,10252,10172,793,847,863,921,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8472,9850,741,829,802,893,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8528,10252,838,786,915,865,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8456,8655,811,866,890,950,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,3,2,3,1,2,3,2,3
2011/2012,8650,8668,844,869,907,925,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,9850,10260,866,742,939,800,2,1,2,2,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8659,8472,828,799,899,859,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10261,8602,795,820,857,881,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8455,8559,806,906,871,957,2,1,3,2,2,3,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,3
2011/2012,10172,9879,843,789,901,865,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10194,10003,757,797,838,859,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
2011/2012,9825,8586,867,824.5299233,922,874.6768998,2,1,2,1,3,3,3,2,1,3,2,3,1,2,1,2,2,2,1,2,3,2,2
2011/2012,8668,8455,886,857,953,904,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,10260,8650,861,867,926,940,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,1
2011/2012,10252,8456,873,842,944,912,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10003,9850,741,759,802,857,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8655,10172,784,800,856,881,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,9879,10194,810,850,868,901,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8559,8528,784,816,859,882,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,3
2011/2012,8472,9825,842,820,928,883,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8586,10261,819,869,887,908,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,1
2011/2012,8602,8659,789,773,841,854,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8659,10252,826,796,903,847,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8472,8559,813,809,884,887,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,9850,8650,873,742,930,800,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8528,10261,819,795,887,856,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10003,8602,790,749,857,847,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10194,9825,859,800,940,859,3,1,2,1,2,2,2,1,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
2011/2012,8586,8655,809,880,884,920,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,3
2011/2012,8668,9879,843,853,901,898,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,8456,10260,880,871,947,952,2,1,2,2,2,2,3,1,2,3,2,3,1,2,2,3,2,3,1,2,3,2,3
2011/2012,8455,10172,787,908,853,960,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,2
2011/2012,9825,8455,885,868,954,943,2,1,2,1,2,2,3,1,2,3,2,3,1,2,1,2,2,2,1,2,3,2,3
2011/2012,10260,8668,837,866,904,943,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
2011/2012,8602,8456,882,752,959,832,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8655,9850,741,791,802,875,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10252,8472,819,832,887,900,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8559,10003,749,810,835,872,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2
2011/2012,8650,8659,792,874,842,930,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,9879,8528,792,844,854,902,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10172,8586,867,798,924,874,2,1,2,1,3,3,3,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10261,10194,811,830,868,889,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8659,9825,835,794,921,842,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,9850,10252,830,755,904,813,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8455,8655,794,911,879,954,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,3
2011/2012,10003,8650,862,749,929,823,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8472,10260,882,795,945,885,2,1,2,2,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8668,10261,815,844,881,896,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,8456,10172,794,866,868,947,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,3,2,3,1,2,3,2,3
2011/2012,10194,8559,801,813,883,867,2,1,3,2,2,3,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
2011/2012,8586,9879,842,884,899,924,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,3
2011/2012,8528,8602,781,783,843,862,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8602,8668,845,764,907,842,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10261,8456,882,816,954,884,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,9825,9850,742,869,798,944,2,1,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,3
2011/2012,10172,10194,812,783,863,861,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,9879,8472,816,847,887,894,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10260,10003,756,896,829,959,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
2011/2012,8559,8659,796,810,844,878,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2
2011/2012,8655,8528,784,807,853,876,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8650,8455,895,869,960,918,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10252,8586,867,848,924,910,2,1,2,1,3,3,3,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,9879,9825,864,853,944,903,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8668,8559,823.5613065,855,874.9220714,901,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,8602,8455,867,751,945,839,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10261,10260,895,828,962,899,2,1,2,2,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10172,9850,741,782,812,845,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8655,10194,810,786,867,873,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8528,8472,817,783,887,858,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8586,8659,796,872,844,916,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,3
2011/2012,8456,8650,859,879,927,957,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,3,2,3,1,2,3,2,1
2011/2012,10252,10003,749,831,835,909,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10260,10252,827,884,899,953,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
2011/2012,10003,8655,801,824.5299233,880,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,9850,8456,889,742,961,809,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8455,10261,819,897,899,951,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,3
2011/2012,8659,10172,789,794,854,852,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8559,8586,865,824.5299233,922,874.6768998,2,1,2,1,3,3,3,2,1,3,2,2,1,3,2,2,3,2,2,2,3,2,2
2011/2012,9825,8528,783,869,853,944,2,1,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,3
2011/2012,10194,8668,842,821,897,862,2,1,2,2,2,3,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,3
2011/2012,8472,8602,785,798,854,875,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8650,9879,840,865,903,918,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8668,9825,868,856,948,901,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,10252,8559,823.5613065,829,874.9220714,900,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10172,8650,861,789,925,855,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8602,10260,877,772,950,856,2,1,2,2,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10261,9850,751,806,801,880,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,9879,10003,823.5613065,845,874.9220714,905,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8528,8659,796,785,848,855,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8586,10194,805,885,858,927,2,1,3,2,1,3,2,2,1,3,2,2,1,2,1,3,3,3,2,1,3,2,2
2011/2012,8655,8472,814,811,879,883,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8456,8455,868,872,941,953,2,1,2,1,2,2,3,1,2,3,2,3,1,2,2,3,2,3,1,2,3,2,2
2011/2012,8659,8655,804,800,877,853,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,9850,8668,839,754,903,801,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8559,9879,837,824.5299233,901,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2
2011/2012,10003,10261,812,824.5299233,888,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8455,8528,787,896,856,948,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,1
2011/2012,10194,8602,793,807,869,854,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,3
2011/2012,8650,10252,829,864,905,919,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,9825,8456,883,875,957,950,3,1,2,2,3,2,3,1,2,3,2,3,1,2,1,2,2,2,1,2,3,2,2
2011/2012,10260,10172,781,881,846,957,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
2011/2012,8472,8586,864,814,924,881,2,1,2,1,3,3,3,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,9850,8602,789,754,867,801,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8559,8655,807,824.5299233,881,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,3
2011/2012,8472,10172,780,823,856,892,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8650,8528,788,870,856,922,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,9825,10252,833,824.5299233,911,874.6768998,2,1,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,3
2011/2012,10003,8668,840,824.5299233,901,874.6768998,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10260,9879,837,871,901,953,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
2011/2012,10194,8456,881,810,955,855,3,1,2,2,3,2,3,1,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
2011/2012,8659,10261,797,803,878,853,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8455,8586,866,902,924,951,2,1,2,1,3,3,3,2,1,3,2,2,1,2,1,2,2,3,1,2,3,2,1
2011/2012,10261,8559,823.5613065,817,874.9220714,873,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,9879,8455,873,783,951,880,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8655,8650,864,772,927,858,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8528,10260,865,786,929,863,2,1,2,2,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
