"","id","date_match","season","away_team_api_id","home_team_api_id","away_team_goal","home_team_goal","H_overall_rating","A_overall_rating","H_potential","A_potential","H_buildUpPlaySpeed","H_buildUpPlaySpeedClass","H_buildUpPlayDribblingClass","H_buildUpPlayPassing","H_buildUpPlayPassingClass","H_buildUpPlayPositioningClass","H_chanceCreationPassing","H_chanceCreationPassingClass","H_chanceCreationCrossing","H_chanceCreationCrossingClass","H_chanceCreationShooting","H_chanceCreationShootingClass","H_chanceCreationPositioningClass","H_defencePressure","H_defencePressureClass","H_defenceAggression","H_defenceAggressionClass","H_defenceTeamWidth","H_defenceTeamWidthClass","A_buildUpPlaySpeed","A_buildUpPlaySpeedClass","A_buildUpPlayDribblingClass","A_buildUpPlayPassing","A_buildUpPlayPassingClass","A_buildUpPlayPositioningClass","A_chanceCreationPassing","A_chanceCreationPassingClass","A_chanceCreationCrossing","A_chanceCreationCrossingClass","A_chanceCreationShooting","A_chanceCreationShootingClass","A_chanceCreationPositioningClass","A_defencePressure","A_defencePressureClass","A_defenceAggression","A_defenceAggressionClass","A_defenceTeamWidth","A_defenceTeamWidthClass","result"
"13",2601,"2010-08-21","2010/2011",8602,8668,1,1,847,762,902,834,60,"Balanced","Little",65,"Mixed","Organised",60,"Normal",70,"Lots",45,"Normal","Organised",40,"Medium",70,"Double",40,"Normal",70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",70,"Lots","Organised",70,"High",70,"Double",70,"Wide","draw"
"14",2605,"2010-08-21","2010/2011",8655,8658,1,2,834,801,887,878,70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",70,"Lots","Organised",70,"High",70,"Double",70,"Wide",55,"Balanced","Little",70,"Long","Organised",60,"Normal",70,"Lots",55,"Normal","Organised",45,"Medium",70,"Double",45,"Normal","win"
"15",2606,"2010-08-21","2010/2011",8472,8659,0,1,768,802,850,869,65,"Balanced","Little",40,"Mixed","Organised",70,"Risky",70,"Lots",55,"Normal","Organised",70,"High",70,"Double",70,"Wide",60,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",55,"Normal","Organised",35,"Medium",70,"Double",35,"Normal","win"
"16",2607,"2010-08-21","2010/2011",8586,10194,2,1,803,870,855,918,65,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",55,"Normal","Organised",35,"Medium",70,"Double",35,"Normal",70,"Fast","Little",50,"Mixed","Organised",50,"Normal",65,"Normal",50,"Normal","Organised",50,"Medium",50,"Press",50,"Normal","lose"
"17",2608,"2010-08-21","2010/2011",8455,8528,6,0,790,929,867,969,70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",50,"Normal","Organised",35,"Medium",70,"Double",35,"Normal",70,"Fast","Little",60,"Mixed","Free Form",56,"Normal",70,"Lots",70,"Lots","Free Form",30,"Deep",60,"Press",35,"Normal","lose"
"18",2602,"2010-08-22","2010/2011",10252,10261,0,6,792,867,861,912,70,"Fast","Little",60,"Mixed","Organised",65,"Normal",70,"Lots",60,"Normal","Organised",45,"Medium",65,"Press",45,"Normal",70,"Fast","Little",59,"Mixed","Organised",65,"Normal",70,"Lots",50,"Normal","Free Form",30,"Deep",70,"Double",30,"Narrow","win"
"19",2604,"2010-08-22","2010/2011",10260,9879,2,2,829,909,879,940,60,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",50,"Normal","Organised",40,"Medium",35,"Press",40,"Normal",70,"Fast","Little",45,"Mixed","Organised",45,"Normal",70,"Lots",65,"Normal","Free Form",40,"Medium",50,"Press",40,"Normal","draw"
"20",2603,"2010-08-23","2010/2011",8650,8456,0,3,874,891,941,940,70,"Fast","Little",60,"Mixed","Organised",55,"Normal",70,"Lots",70,"Lots","Organised",45,"Medium",55,"Press",45,"Normal",50,"Balanced","Little",35,"Mixed","Organised",50,"Normal",60,"Normal",70,"Lots","Organised",40,"Medium",60,"Press",40,"Normal","win"
"21",2709,"2010-08-28","2010/2011",8654,10260,0,3,895,816,953,879,70,"Fast","Little",45,"Mixed","Organised",45,"Normal",70,"Lots",65,"Normal","Free Form",40,"Medium",50,"Press",40,"Normal",58,"Balanced","Little",30,"Short","Organised",31,"Safe",70,"Lots",50,"Normal","Organised",30,"Deep",70,"Double",30,"Narrow","win"
"22",2712,"2010-08-28","2010/2011",8528,8586,1,0,863,795,921,861,70,"Fast","Little",50,"Mixed","Organised",50,"Normal",65,"Normal",50,"Normal","Organised",50,"Medium",50,"Press",50,"Normal",70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",50,"Normal","Organised",35,"Medium",70,"Double",35,"Normal","lose"
