team.home,away.team,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
32,6,2,1,1,2,2,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,2,2,1
1,26,1,1,3,1,3,3,3,1,1,3,2,1,1,1,2,2,2,3,2,3,2,2,2
12,18,1,1,2,2,1,2,3,2,3,2,2,2,1,2,2,1,2,3,1,3,3,2,2
21,25,2,1,1,2,2,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,2,2,3
31,14,1,1,3,2,3,2,3,2,1,2,1,1,1,2,2,2,2,3,2,2,2,3,2
33,10,2,1,1,2,2,2,2,2,2,2,3,2,1,2,1,1,2,2,1,1,3,2,3
2,8,2,1,2,2,1,2,3,1,1,2,1,2,1,2,2,2,2,2,2,3,2,3,2
4,6,1,1,1,2,1,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,2,2,2
13,3,1,1,1,2,2,2,3,2,3,3,2,2,1,1,2,2,2,2,2,2,2,3,2
17,16,2,1,2,2,1,2,2,2,3,3,2,1,1,2,2,1,3,2,2,3,3,2,1
32,28,2,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,3,3,2,3,3,2,3
18,31,2,1,2,2,1,2,3,1,3,3,2,1,1,3,2,3,2,3,2,1,2,1,2
3,32,2,1,1,2,2,2,2,2,2,2,3,2,1,1,2,2,2,3,2,3,2,2,2
6,33,1,1,1,2,2,2,3,2,3,2,2,2,1,1,2,2,2,2,2,2,2,3,2
8,21,2,1,2,2,2,2,2,2,3,2,3,2,1,1,2,2,2,3,2,3,2,2,3
10,17,2,1,2,1,1,2,2,1,1,3,2,2,1,2,2,1,2,2,2,3,3,2,3
25,1,1,1,1,2,2,2,3,2,3,2,2,1,1,3,1,3,3,3,1,1,3,2,3
16,4,1,1,2,2,1,3,2,2,3,3,2,1,1,1,2,1,2,3,2,3,2,2,2
26,13,1,1,1,2,2,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,3,2,1
28,12,2,1,2,2,1,3,3,2,3,3,2,1,1,2,2,1,2,3,2,3,2,2,2
1,8,1,1,3,1,3,3,3,1,1,3,2,2,1,2,2,2,2,2,2,3,2,3,2
31,6,1,1,3,2,3,2,3,2,1,2,1,1,1,1,2,2,2,3,2,3,2,2,3
33,18,2,1,1,2,2,2,2,2,2,2,3,2,1,2,2,1,2,3,1,3,3,2,3
12,14,1,1,2,2,1,2,3,2,3,2,2,1,1,2,2,2,2,3,2,2,2,3,2
32,16,2,1,1,2,2,2,3,2,3,2,2,1,1,2,2,1,3,2,2,3,3,2,2
21,3,2,1,1,2,2,2,3,2,3,2,2,2,1,1,2,2,2,2,2,2,2,3,3
26,6,1,1,1,2,2,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,2,2,2
8,25,2,1,2,2,2,2,2,2,3,2,3,1,1,1,2,2,2,3,2,3,2,2,1
3,12,2,1,1,2,2,2,2,2,2,2,3,1,1,2,2,1,2,3,2,3,2,2,1
6,32,1,1,1,2,2,2,3,2,3,2,2,2,1,1,2,2,2,3,2,3,2,2,2
8,33,2,1,2,2,2,2,2,2,3,2,3,2,1,1,2,2,2,2,2,2,2,3,3
10,31,2,1,2,1,1,2,2,1,1,3,2,1,1,3,2,3,2,3,2,1,2,1,2
14,1,1,1,2,2,2,2,3,2,2,2,3,1,1,3,1,3,3,3,1,1,3,2,3
25,2,1,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,2,3,1,1,2,1,1
28,4,2,1,2,2,1,3,3,2,3,3,2,1,1,1,2,1,2,3,2,3,2,2,2
18,13,2,1,2,2,1,2,3,1,3,3,2,1,1,1,2,2,2,3,2,3,3,2,2
26,17,1,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,2,2,2,3,3,2,1
16,21,1,1,2,2,1,3,2,2,3,3,2,2,1,1,2,2,2,3,2,3,2,2,2
32,2,2,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,2,3,1,1,2,1,3
1,31,1,1,3,1,3,3,3,1,1,3,2,1,1,3,2,3,2,3,2,1,2,1,2
2,33,2,1,2,2,1,2,3,1,1,2,1,2,1,1,2,2,2,2,2,2,2,3,1
12,6,1,1,2,2,1,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,2,2,2
21,14,2,1,1,2,2,2,3,2,3,2,2,1,1,2,2,2,2,3,2,2,2,3,2
25,28,1,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,3,3,2,3,3,2,3
26,3,1,1,1,2,2,2,3,2,3,2,2,2,1,1,2,2,2,2,2,2,2,3,2
32,8,2,1,1,2,2,2,3,2,3,2,2,2,1,2,2,2,2,2,2,3,2,3,2
4,10,1,1,1,2,1,2,3,2,3,2,2,2,1,2,1,1,2,2,1,1,3,2,1
13,17,1,1,1,2,2,2,3,2,3,3,2,2,1,2,2,1,2,2,2,3,3,2,3
18,16,2,1,2,2,1,2,3,1,3,3,2,1,1,2,2,1,3,2,2,3,3,2,2
31,33,1,1,3,2,3,2,3,2,1,2,1,2,1,1,2,2,2,2,2,2,2,3,3
2,26,2,1,2,2,1,2,3,1,1,2,1,1,1,1,2,2,2,3,2,3,2,2,1
4,3,1,1,1,2,1,2,3,2,3,2,2,2,1,1,2,2,2,2,2,2,2,3,2
17,12,2,1,2,2,1,2,2,2,3,3,2,1,1,2,2,1,2,3,2,3,2,2,3
21,10,2,1,1,2,2,2,3,2,3,2,2,2,1,2,1,1,2,2,1,1,3,2,3
3,1,2,1,1,2,2,2,2,2,2,2,3,1,1,3,1,3,3,3,1,1,3,2,1
6,18,1,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,2,3,1,3,3,2,3
10,2,2,1,2,1,1,2,2,1,1,3,2,2,1,2,2,1,2,3,1,1,2,1,2
14,13,1,1,2,2,2,2,3,2,2,2,3,1,1,1,2,2,2,3,2,3,3,2,2
28,21,2,1,2,2,1,3,3,2,3,3,2,2,1,1,2,2,2,3,2,3,2,2,2
31,25,1,1,3,2,3,2,3,2,1,2,1,1,1,1,2,2,2,3,2,3,2,2,3
33,12,2,1,1,2,2,2,2,2,2,2,3,1,1,2,2,1,2,3,2,3,2,2,1
8,4,2,1,2,2,2,2,2,2,3,2,3,1,1,1,2,1,2,3,2,3,2,2,3
16,26,1,1,2,2,1,3,2,2,3,3,2,1,1,1,2,2,2,3,2,3,2,2,2
17,32,2,1,2,2,1,2,2,2,3,3,2,2,1,1,2,2,2,3,2,3,2,2,2
1,33,1,1,3,1,3,3,3,1,1,3,2,2,1,1,2,2,2,2,2,2,2,3,2
6,2,1,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,2,3,1,1,2,1,3
8,17,2,1,2,2,2,2,2,2,3,2,3,2,1,2,2,1,2,2,2,3,3,2,3
18,10,2,1,2,2,1,2,3,1,3,3,2,2,1,2,1,1,2,2,1,1,3,2,3
21,4,2,1,1,2,2,2,3,2,3,2,2,1,1,1,2,1,2,3,2,3,2,2,1
25,14,1,1,1,2,2,2,3,2,3,2,2,1,1,2,2,2,2,3,2,2,2,3,2
26,28,1,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,3,3,2,3,3,2,2
3,16,2,1,1,2,2,2,2,2,2,2,3,1,1,2,2,1,3,2,2,3,3,2,1
12,31,1,1,2,2,1,2,3,2,3,2,2,1,1,3,2,3,2,3,2,1,2,1,1
13,32,1,1,1,2,2,2,3,2,3,3,2,2,1,1,2,2,2,3,2,3,2,2,2
14,8,1,1,2,2,2,2,3,2,2,2,3,2,1,2,2,2,2,2,2,3,2,3,3
31,26,1,1,3,2,3,2,3,2,1,2,1,1,1,1,2,2,2,3,2,3,2,2,2
4,18,1,1,1,2,1,2,3,2,3,2,2,2,1,2,2,1,2,3,1,3,3,2,1
16,13,1,1,2,2,1,3,2,2,3,3,2,1,1,1,2,2,2,3,2,3,3,2,1
17,3,2,1,2,2,1,2,2,2,3,3,2,2,1,1,2,2,2,2,2,2,2,3,2
33,25,2,1,1,2,2,2,2,2,2,2,3,1,1,1,2,2,2,3,2,3,2,2,1
10,6,2,1,2,1,1,2,2,1,1,3,2,1,1,1,2,2,2,3,2,3,2,2,2
2,12,2,1,2,2,1,2,3,1,1,2,1,1,1,2,2,1,2,3,2,3,2,2,1
28,1,2,1,2,2,1,3,3,2,3,3,2,1,1,3,1,3,3,3,1,1,3,2,2
32,21,2,1,1,2,2,2,3,2,3,2,2,2,1,1,2,2,2,3,2,3,2,2,1
3,14,2,1,1,2,2,2,2,2,2,2,3,1,1,2,2,2,2,3,2,2,2,3,1
4,12,1,1,1,2,1,2,3,2,3,2,2,1,1,2,2,1,2,3,2,3,2,2,3
13,33,1,1,1,2,2,2,3,2,3,3,2,2,1,1,2,2,2,2,2,2,2,3,1
17,18,2,1,2,2,1,2,2,2,3,3,2,2,1,2,2,1,2,3,1,3,3,2,3
25,6,1,1,1,2,2,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,2,2,3
26,8,1,1,1,2,2,2,3,2,3,2,2,2,1,2,2,2,2,2,2,3,2,3,2
28,10,2,1,2,2,1,3,3,2,3,3,2,2,1,2,1,1,2,2,1,1,3,2,2
21,2,2,1,1,2,2,2,3,2,3,2,2,2,1,2,2,1,2,3,1,1,2,1,3
32,1,2,1,1,2,2,2,3,2,3,2,2,1,1,3,1,3,3,3,1,1,3,2,2
16,31,1,1,2,2,1,3,2,2,3,3,2,1,1,3,2,3,2,3,2,1,2,1,2
14,2,1,1,2,2,2,2,3,2,2,2,3,2,1,2,2,1,2,3,1,1,2,1,3
